Block,Center Coord,
100351,|[40.71734508059104,-73.98836067670722]|
100352,|[40.71786523032961,-73.98831101351618]|
100353,|[40.718828564070435,-73.98708926744465]|
100354,|[40.720066640878485,-73.986810255059]|
100355,|[40.72111148597935,-73.98575659992814]|
100356,|[40.71993349058738,-73.97768409262802]|
100362,|[40.72279586286354,-73.97557034422638]|
100367,|[40.72543516517724,-73.97426113558026]|
100372,|[40.72076728725011,-73.97972116227163]|
100373,|[40.721393077035465,-73.97926176407714]|
100374,|[40.7220026215775,-73.97881360692533]|
100375,|[40.72261247126219,-73.97836500319968]|
100376,|[40.72324705974398,-73.9779044700321]|
100377,|[40.723806907139405,-73.97749431969197]|
100378,|[40.72440800835146,-73.97705268800462]|
100379,|[40.7251330917332,-73.97652940587106]|
100380,|[40.72528033211894,-73.97573421133114]|
100381,|[40.726021819939476,-73.97504116654675]|
100382,|[40.726159601579525,-73.97600217490466]|
100383,|[40.72747681323012,-73.97481138442531]|
100384,|[40.721367400885256,-73.98255700737187]|
100385,|[40.721762085207345,-73.98208544125873]|
100386,|[40.72242012956666,-73.98162517134674]|
100387,|[40.72323565454727,-73.98102493997092]|
100389,|[40.72421806109094,-73.98031566438505]|
100390,|[40.724808003952646,-73.97988028166172]|
100391,|[40.72537810158656,-73.97943303870338]|
100392,|[40.725996979857086,-73.97901468869912]|
100393,|[40.72660067902713,-73.9785809494364]|
100394,|[40.72721239218827,-73.97813389482349]|
100395,|[40.72786460375385,-73.97770613739064]|
100396,|[40.72857351032563,-73.97718037960558]|
100397,|[40.72212711456888,-73.98479049777082]|
100398,|[40.722741083417375,-73.984404037117]|
100399,|[40.72337493188367,-73.98393717700563]|
100400,|[40.72398169891495,-73.98349947119478]|
100401,|[40.72450501463689,-73.98297843610926]|
100402,|[40.72523887022862,-73.98258292821234]|
100403,|[40.72682560033931,-73.98141826513022]|
100404,|[40.72760987051198,-73.9808593793473]|
100405,|[40.72817486122078,-73.98043897540825]|
100406,|[40.728823386891015,-73.97997213888239]|
100407,|[40.72944337408061,-73.97951977907177]|
100408,|[40.717317387827364,-73.9897805076184]|
100409,|[40.7181730366878,-73.98933267792486]|
100410,|[40.719331511091966,-73.98873689440235]|
100411,|[40.720482888659305,-73.98814458710831]|
100412,|[40.72163751736213,-73.98757803297117]|
100413,|[40.717775318158324,-73.99128713862683]|
100414,|[40.71863880336472,-73.99087093841948]|
100415,|[40.71981106440127,-73.99024204324317]|
100416,|[40.72089388320541,-73.98968315652762]|
100417,|[40.72209969544707,-73.98902734789061]|
100418,|[40.718428112090436,-73.99264961593929]|
100419,|[40.718987178681125,-73.99202679068122]|
100420,|[40.72042863407713,-73.99146158778169]|
100421,|[40.72127828852178,-73.9907783759273]|
100422,|[40.722484070491056,-73.99035949500296]|
100423,|[40.71862711491855,-73.99416137072727]|
100424,|[40.71950936390981,-73.99374300661475]|
100425,|[40.72067732327231,-73.9932017223663]|
100426,|[40.72184642506741,-73.99267858608684]|
100427,|[40.723082483305106,-73.99221250038669]|
100429,|[40.7230450779295,-73.98715242547834]|
100430,|[40.72367882521509,-73.98658095199615]|
100431,|[40.72430474418742,-73.98613217863954]|
100432,|[40.72530568276118,-73.98476282941233]|
100434,|[40.72614496726316,-73.98489188046881]|
100435,|[40.726758486367444,-73.9844474019867]|
100436,|[40.72735944784441,-73.98405260653493]|
100437,|[40.72795654155959,-73.98357000592968]|
100438,|[40.72852912761735,-73.98314978866586]|
100439,|[40.729198817537814,-73.98289249936971]|
100440,|[40.72981027615465,-73.982223471915]|
100441,|[40.730405819322144,-73.98174450524616]|
100442,|[40.7238156462907,-73.99021863763343]|
100443,|[40.7239945670519,-73.98940938515116]|
100444,|[40.72467114740558,-73.98898444828626]|
100445,|[40.72530582739968,-73.98852140888059]|
100446,|[40.72591338809498,-73.98807705554105]|
100447,|[40.72649991239881,-73.98764985086027]|
100448,|[40.72713534529193,-73.98720126500966]|
100449,|[40.7277122515085,-73.9867669911851]|
100450,|[40.72835109420369,-73.98636728688273]|
100451,|[40.72894905266643,-73.98592149087943]|
100452,|[40.72950111478903,-73.98546205469466]|
100453,|[40.730142801857085,-73.98501973522998]|
100454,|[40.73075228912556,-73.9845437237957]|
100455,|[40.731386631190276,-73.9840802644928]|
100456,|[40.72428290586883,-73.99170650719252]|
100457,|[40.72484480194932,-73.9914172528464]|
100458,|[40.72556219963878,-73.99103755661362]|
100459,|[40.72622539637274,-73.99068054053825]|
100460,|[40.7268697751013,-73.99032081978797]|
