Block,Center Coord,
102040,|[40.82823207955445,-73.93659127401514]|
102041,|[40.81856135626129,-73.94598496221127]|
102042,|[40.81974888036942,-73.94499283738479]|
102043,|[40.82097328824388,-73.94411143683973]|
102044,|[40.82222876022941,-73.94312777074765]|
102045,|[40.82416765981206,-73.94162002665324]|
102046,|[40.82686650368896,-73.9396471528556]|
102047,|[40.82856158632296,-73.93850040211413]|
102048,|[40.81935268612142,-73.94661749507029]|
102050,|[40.82259374862476,-73.94656446415893]|
102051,|[40.82191640480649,-73.94496734997242]|
102052,|[40.825894422694304,-73.94128617201918]|
102053,|[40.824925545851706,-73.94344955111376]|
102054,|[40.82796750224278,-73.94124223810306]|
102057,|[40.82200102994444,-73.9490398888006]|
102058,|[40.82285199133337,-73.94843199438897]|
102059,|[40.824088517979476,-73.94754483476325]|
102060,|[40.82499004242378,-73.94592961618838]|
102061,|[40.82553746617504,-73.9455269396976]|
102062,|[40.82615956483271,-73.94506577138256]|
102063,|[40.826796951153526,-73.94463896805576]|
102064,|[40.82745532091461,-73.94426642561737]|
102065,|[40.828082667419345,-73.94381983097485]|
102066,|[40.82866196772878,-73.94309397370657]|
102067,|[40.829291233614995,-73.94282050134078]|
102068,|[40.83035331127663,-73.942764860398]|
102069,|[40.82967165101303,-73.94125748579609]|
102070,|[40.821655200493154,-73.95202684183559]|
102071,|[40.822257791847235,-73.95158692600472]|
102072,|[40.8228795199065,-73.95113201741698]|
102073,|[40.82350441392977,-73.9506741492963]|
102074,|[40.824150755869,-73.95020781265725]|
102075,|[40.82479419881673,-73.94985002391104]|
102076,|[40.82537666007884,-73.94930802266006]|
102077,|[40.8260959283981,-73.94878406364099]|
102078,|[40.82672124256861,-73.94832606190248]|
102079,|[40.827345588826994,-73.94787271457791]|
102080,|[40.82796895008159,-73.94741724766135]|
102081,|[40.82859380055186,-73.94696303511468]|
102082,|[40.82921549082924,-73.94650429187419]|
102083,|[40.829839123622094,-73.94605086242]|
102084,|[40.83053198142742,-73.94576349426123]|
102085,|[40.83183911769416,-73.9453884240638]|
102086,|[40.82207117914424,-73.95501381711948]|
102087,|[40.82288502680397,-73.95444901276426]|
102088,|[40.82415427188265,-73.95350339683782]|
102089,|[40.82512587463219,-73.95257310599818]|
102090,|[40.825727235319206,-73.95206897722312]|
102091,|[40.82634104966751,-73.9516055582919]|
102092,|[40.82704132375976,-73.95102374856442]|
102093,|[40.82763175653707,-73.95050990905361]|
102094,|[40.828211858883975,-73.95009023401988]|
102095,|[40.82887695170046,-73.94961504135418]|
102096,|[40.82953781061356,-73.94921208923628]|
102097,|[40.830204477600674,-73.94886006013223]|
102098,|[40.830879031426505,-73.94852043060085]|
102099,|[40.831851617716396,-73.94840393534366]|
102100,|[40.83284421749569,-73.949226606132]|
102101,|[40.82463847649253,-73.9567919128211]|
102105,|[40.8291737072472,-73.93617606110105]|
102106,|[40.83648958226491,-73.93483036370816]|
102107,|[40.83169388573279,-73.94159012402093]|
102108,|[40.83288212974117,-73.94073294380192]|
102109,|[40.834183736617334,-73.93971652043084]|
102110,|[40.83586068105273,-73.9385144369751]|
102111,|[40.83747309669316,-73.93752808981161]|
102112,|[40.83947520101893,-73.93618359656386]|
102114,|[40.83249000329569,-73.94413876048452]|
102115,|[40.833051224466786,-73.94370734428657]|
102116,|[40.83366616727214,-73.94319704698557]|
102117,|[40.83429923622019,-73.94278998760322]|
102118,|[40.834882387684644,-73.94236678229088]|
102119,|[40.83555121747115,-73.9418984616068]|
102120,|[40.83615800541989,-73.94148390540555]|
102121,|[40.8372888904813,-73.93948819116781]|
102122,|[40.837376194488584,-73.94100851304844]|
102123,|[40.83899476682703,-73.93852849885087]|
102124,|[40.83959667784865,-73.93989207276151]|
102125,|[40.84068510080847,-73.93803172881633]|
102126,|[40.84128932447534,-73.93774065167639]|
102127,|[40.841914026660746,-73.9372778644819]|
102128,|[40.842523504366994,-73.93683250244096]|
102129,|[40.843166071945056,-73.93642609410429]|
102130,|[40.843790094637136,-73.93590840868129]|
102131,|[40.844407989377736,-73.93545797190754]|
102132,|[40.84523520204833,-73.93396740748479]|
102133,|[40.845866149483356,-73.93532566750642]|
102134,|[40.83433430811934,-73.94711807395387]|
102135,|[40.83614324349197,-73.94695560268167]|
102136,|[40.83730377141269,-73.94518859994923]|
102137,|[40.83704594709282,-73.94362706220159]|
102138,|[40.8407450329775,-73.94141003509259]|
102139,|[40.84322647857202,-73.94276434213003]|
102140,|[40.84236358624317,-73.94457370556654]|
102141,|[40.843066843867824,-73.93875261242061]|
102142,|[40.844566426405656,-73.93990243036484]|
102143,|[40.84489533760667,-73.9379036317973]|
102144,|[40.846386742758526,-73.93670121016851]|
102145,|[40.846811356712756,-73.93771899084746]|
102149,|[40.85154531034526,-73.92904174230839]|
102150,|[40.8576673468328,-73.92204519183093]|
102152,|[40.84761279003966,-73.93227212627568]|
102153,|[40.84782938731525,-73.93417014807815]|
102154,|[40.84960245635702,-73.93244643844776]|
102155,|[40.84906605463481,-73.93116755371979]|
102156,|[40.85084652141376,-73.9297724822268]|
102157,|[40.851466523683,-73.93123922131711]|
102158,|[40.853406826070106,-73.92981307828722]|
102159,|[40.85282075880582,-73.92841914806169]|
102160,|[40.85476687541171,-73.92685420909928]|
102161,|[40.85538110471059,-73.92829815332483]|
102162,|[40.84839530824381,-73.93551022440906]|
102163,|[40.84877477521955,-73.93641584987458]|
102164,|[40.85060747852252,-73.93485313824138]|
102165,|[40.85021682833458,-73.93389861756208]|
102166,|[40.8520288603903,-73.93257167769622]|
102167,|[40.852463416280244,-73.93361223616418]|
102168,|[40.85397316655842,-73.93115671271947]|
102169,|[40.85570034421596,-73.92975894039202]|
102170,|[40.85632264443265,-73.93038821008773]|
102171,|[40.859063315509914,-73.92926201123475]|
102172,|[40.86024138849352,-73.93016946994305]|
102173,|[40.85987161657451,-73.9270121619003]|
102174,|[40.86168196411964,-73.92781839393243]|
102175,|[40.86340297196853,-73.92874827135958]|
102176,|[40.848658484466185,-73.93821062098485]|
102177,|[40.84970696873492,-73.94088465357672]|
102178,|[40.86779403646025,-73.93239472809373]|
102179,|[40.8559960434506,-73.93719649119484]|
102180,|[40.85366231307978,-73.93519650878699]|
102183,|[40.85942226800515,-73.9199021016621]|
102184,|[40.86009088589179,-73.91894711559627]|
102185,|[40.86188738778661,-73.91802866754546]|
102186,|[40.86245442266866,-73.91714624955856]|
102187,|[40.863054238831324,-73.9167532178613]|
102188,|[40.86401219363204,-73.91663157682387]|
102189,|[40.86555886029974,-73.91682437356852]|
102196,|[40.86875888396932,-73.91246196900512]|
102197,|[40.86967917060056,-73.91196440712028]|
102198,|[40.86069394436434,-73.92063920562146]|
102199,|[40.86124190287849,-73.92036555470104]|
102200,|[40.861900071892364,-73.92002376636546]|
102201,|[40.86247372952296,-73.91913484969315]|
102202,|[40.86299595252956,-73.91865065483681]|
102203,|[40.863782165636295,-73.91866037876156]|
102212,|[40.8692902872167,-73.91358021441252]|
102213,|[40.870157704468866,-73.91352550444549]|
102214,|[40.871054515613736,-73.9129685716652]|
102215,|[40.87467277087421,-73.91157413976995]|
102216,|[40.862135027153606,-73.92179175264731]|
102217,|[40.86240534702045,-73.92426082093348]|
102218,|[40.863182868437136,-73.92215599996896]|
102219,|[40.86407046337867,-73.92016518638547]|
102220,|[40.863407922218585,-73.92477057669402]|
102221,|[40.86414229469984,-73.92277659175664]|
102222,|[40.864840664529076,-73.92088749933299]|
102223,|[40.86562001466126,-73.9190876516311]|
102224,|[40.86436696131321,-73.92552061672092]|
102225,|[40.865142840872906,-73.92341501138058]|
102226,|[40.86583693086729,-73.92153607087545]|
102227,|[40.866477664627894,-73.91980609876114]|
102228,|[40.867262538797945,-73.91883558626088]|
102229,|[40.86769702085905,-73.91808035113606]|
102230,|[40.868284678105994,-73.91741144470399]|
102231,|[40.86877772516263,-73.9166302941209]|
102232,|[40.86963895272726,-73.91562399560664]|
102233,|[40.86530544916535,-73.92614663606578]|
102234,|[40.866043752877346,-73.92399723845045]|
102235,|[40.86673258714281,-73.92212027278873]|
102236,|[40.86738547534203,-73.92038708176813]|
102237,|[40.866300333029486,-73.92689175208784]|
102238,|[40.86700834975868,-73.92460936231069]|
102239,|[40.8676891552837,-73.92504546417265]|
102240,|[40.86836339499844,-73.92315642820157]|
102241,|[40.86773443441918,-73.92263724759461]|
102242,|[40.86867690686838,-73.92110801295144]|
102243,|[40.869651776151926,-73.91855970830008]|
102244,|[40.87251227541257,-73.91452213410426]|
102246,|[40.86647487356687,-73.92952889089038]|
102247,|[40.86692651930171,-73.92779196757402]|
102248,|[40.86823633241647,-73.9255204008626]|
102250,|[40.871962178182265,-73.91893476820185]|
